hotel_name,date,ADR,ADR_Competition,Occupancy_%,Occupancy_Competition_%,Rooms_Available,Rooms_Sold,Justification
St Regis Dubai,11/12/2023,1163.59,1053.46,84.2,83.9,230,194,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,12/12/2023,1183.11,1065.17,74.1,79.1,230,170,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,13/12/2023,1315.02,1107.1,81.2,82.6,230,187,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,14/12/2023,1188.39,1092.52,86.0,84.0,230,198,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,15/12/2023,1358.39,1133.66,78.1,80.1,230,180,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,16/12/2023,1257.43,1137.89,82.0,89.8,230,189,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,17/12/2023,1221.84,1073.81,83.3,87.7,230,192,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,18/12/2023,1154.87,1054.76,84.6,85.8,230,195,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,19/12/2023,1218.8,1063.84,82.5,83.1,230,190,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,20/12/2023,1167.95,1058.3,75.8,81.5,230,174,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,21/12/2023,1235.84,1090.71,79.5,82.8,230,183,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,22/12/2023,1194.59,1087.01,83.9,88.2,230,193,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,23/12/2023,1288.16,1129.76,92.2,95.0,230,212,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,24/12/2023,1216.29,1089.6,74.2,76.4,230,171,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,25/12/2023,1346.64,1083.24,77.9,82.2,230,179,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,26/12/2023,1146.71,1080.2,87.2,86.6,230,201,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,27/12/2023,1189.55,1107.04,82.1,87.4,230,189,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,28/12/2023,1353.04,1100.46,73.6,79.5,230,169,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,29/12/2023,1246.93,1138.93,82.1,83.9,230,189,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,30/12/2023,1257.35,1099.39,87.0,86.1,230,200,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,31/12/2023,1165.87,1056.14,80.1,85.5,230,184,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,01/01/2024,1290.83,1088.98,74.3,77.5,230,171,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,02/01/2024,1263.5,1090.07,72.5,78.7,230,167,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,03/01/2024,1246.77,1098.62,81.7,83.6,230,188,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,04/01/2024,1199.13,1059.66,79.2,83.8,230,182,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,05/01/2024,1371.79,1199.44,83.8,85.2,230,193,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,06/01/2024,1278.41,1102.7,87.5,93.6,230,201,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,07/01/2024,1269.68,1113.13,87.4,85.5,230,201,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,08/01/2024,1162.34,1073.94,76.3,79.9,230,175,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,09/01/2024,1227.4,1079.45,82.9,83.7,230,191,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,10/01/2024,1290.98,1082.42,84.7,81.9,230,195,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,11/01/2024,1187.39,1102.35,78.9,79.3,230,181,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,12/01/2024,1304.29,1128.57,87.4,91.1,230,201,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,13/01/2024,1156.38,1107.37,89.1,87.8,230,205,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,14/01/2024,1151.98,1089.12,83.1,83.4,230,191,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,15/01/2024,1188.04,1053.52,77.5,83.0,230,178,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,16/01/2024,1255.82,1093.88,85.9,86.4,230,198,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,17/01/2024,1113.43,1037.58,84.3,84.5,230,194,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,18/01/2024,1442.69,1099.08,81.0,84.7,230,186,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,19/01/2024,1347.4,1169.04,86.9,88.3,230,200,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,20/01/2024,1230.29,1110.21,85.5,87.7,230,197,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,21/01/2024,1188.49,1157.65,80.4,85.1,230,185,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,22/01/2024,1253.37,1067.2,76.7,83.0,230,176,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,23/01/2024,1222.46,1059.34,77.8,80.4,230,179,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,24/01/2024,1178.87,1084.1,89.6,89.9,230,206,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,25/01/2024,1148.39,1016.89,80.1,80.6,230,184,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,26/01/2024,1236.62,1109.81,91.0,91.2,230,209,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,27/01/2024,1209.14,1095.95,83.7,87.7,230,193,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,28/01/2024,1300.05,1140.14,78.0,78.6,230,179,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,29/01/2024,1349.45,1151.78,73.3,77.8,230,169,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,30/01/2024,1219.15,1124.04,84.4,84.3,230,194,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,31/01/2024,1176.02,1052.82,67.7,72.1,230,156,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,01/02/2024,1136.69,1074.77,83.2,88.2,230,191,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,02/02/2024,1264.15,1122.16,87.5,94.6,230,201,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,03/02/2024,1318.73,1176.9,84.5,85.9,230,194,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,04/02/2024,1187.63,1089.58,80.2,83.0,230,184,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,05/02/2024,1253.24,1086.84,81.4,88.1,230,187,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,06/02/2024,1178.32,1152.51,83.3,82.3,230,192,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,07/02/2024,1189.45,1092.37,79.1,82.1,230,182,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,08/02/2024,1237.03,1064.13,78.8,84.0,230,181,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,09/02/2024,1326.33,1168.19,91.0,92.3,230,209,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,10/02/2024,1211.29,1109.25,91.7,92.1,230,211,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,11/02/2024,1219.02,1082.74,82.7,87.0,230,190,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,12/02/2024,1222.26,1101.25,82.5,82.1,230,190,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,13/02/2024,1288.74,1110.34,83.7,87.1,230,193,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,14/02/2024,1221.25,1105.72,81.4,83.9,230,187,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,15/02/2024,1249.5,1086.75,82.1,80.1,230,189,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,16/02/2024,1168.91,1103.48,94.4,93.6,230,217,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,17/02/2024,1334.69,1159.17,83.6,89.4,230,192,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,18/02/2024,1179.76,1086.19,83.8,86.0,230,193,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,19/02/2024,1166.78,1056.93,80.6,84.2,230,185,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,20/02/2024,1196.81,1057.08,79.6,83.6,230,183,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,21/02/2024,1209.17,1068.55,72.1,78.0,230,166,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,22/02/2024,1176.49,1060.55,85.2,83.8,230,196,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,23/02/2024,1298.19,1167.43,84.2,89.4,230,194,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,24/02/2024,1257.65,1137.56,85.9,90.6,230,198,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,25/02/2024,1317.41,1100.93,79.4,82.4,230,183,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,26/02/2024,1217.12,1106.53,81.5,83.5,230,187,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,27/02/2024,1175.76,1087.31,82.4,82.9,230,190,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,28/02/2024,1321.4,1131.37,84.1,89.9,230,193,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,29/02/2024,1256.3,1112.59,85.0,90.1,230,196,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,01/03/2024,1209.71,1109.8,78.7,81.8,230,181,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,02/03/2024,1254.47,1112.59,92.9,90.6,230,214,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,03/03/2024,1216.93,1115.27,79.2,79.8,230,182,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,04/03/2024,1261.79,1041.45,80.9,86.7,230,186,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,05/03/2024,1221.79,1028.71,81.6,82.4,230,188,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,06/03/2024,1125.58,1032.61,81.1,82.8,230,187,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,07/03/2024,1231.59,1069.89,75.9,79.3,230,175,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,08/03/2024,1309.46,1142.91,85.5,92.0,230,197,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,09/03/2024,1286.21,1086.44,84.4,90.6,230,194,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,10/03/2024,1277.92,1135.14,84.2,86.7,230,194,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,11/03/2024,1391.07,1151.77,80.1,82.0,230,184,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,12/03/2024,1314.11,1105.76,77.5,79.6,230,178,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,13/03/2024,1155.13,1119.24,73.4,78.9,230,169,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,14/03/2024,1243.81,1076.07,84.6,87.8,230,195,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,15/03/2024,1255.72,1194.79,82.1,83.3,230,189,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,16/03/2024,1288.7,1152.3,79.4,82.0,230,183,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,17/03/2024,1202.53,1042.52,78.4,84.0,230,180,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,18/03/2024,1139.91,1068.29,83.6,82.6,230,192,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,19/03/2024,1205.87,1052.98,76.2,81.0,230,175,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,20/03/2024,1155.43,1081.62,76.7,81.0,230,176,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,21/03/2024,1289.03,1149.11,78.5,80.5,230,181,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,22/03/2024,1259.35,1135.62,91.2,91.6,230,210,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,23/03/2024,1223.65,1121.37,80.3,88.4,230,185,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,24/03/2024,1231.07,1035.95,83.4,88.2,230,192,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,25/03/2024,1253.78,1104.1,93.0,93.0,230,214,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,26/03/2024,1159.3,1081.21,76.6,77.5,230,176,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,27/03/2024,1112.65,1060.79,77.1,80.7,230,177,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,28/03/2024,1327.53,1140.41,83.1,82.8,230,191,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,29/03/2024,1230.32,1142.43,94.6,94.9,230,218,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,30/03/2024,1226.38,1104.36,80.3,86.3,230,185,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,31/03/2024,1356.18,1115.76,75.3,78.2,230,173,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,01/04/2024,971.88,887.04,63.5,66.8,230,146,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,02/04/2024,977.14,906.06,67.7,69.1,230,156,Shoulder season with balanced demand patterns. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,03/04/2024,965.32,898.29,67.1,66.8,230,154,Shoulder season with balanced demand patterns. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,04/04/2024,983.73,918.41,69.0,68.7,230,159,Shoulder season with balanced demand patterns. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,05/04/2024,1035.33,902.51,70.5,71.9,230,162,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,06/04/2024,956.0,928.38,68.6,69.1,230,158,Shoulder season with balanced demand patterns. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,07/04/2024,980.18,911.98,65.3,70.1,230,150,Shoulder season with balanced demand patterns. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,08/04/2024,956.86,903.17,65.7,66.6,230,151,Shoulder season with balanced demand patterns. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,09/04/2024,970.48,881.64,68.1,71.2,230,157,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,10/04/2024,986.65,927.73,71.8,69.8,230,165,Shoulder season with balanced demand patterns. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,11/04/2024,905.13,837.96,68.2,70.0,230,157,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,12/04/2024,1047.24,960.95,72.1,74.1,230,166,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,13/04/2024,1114.26,983.7,71.5,74.9,230,164,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,14/04/2024,979.69,891.94,66.9,69.5,230,154,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,15/04/2024,1117.41,913.09,66.1,70.8,230,152,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,16/04/2024,1031.29,937.88,59.4,62.8,230,137,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,17/04/2024,942.01,854.49,70.1,68.5,230,161,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,18/04/2024,1013.9,914.21,64.1,70.7,230,147,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,19/04/2024,1109.14,957.36,69.1,69.5,230,159,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,20/04/2024,1055.63,960.33,79.0,75.7,230,182,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,21/04/2024,1030.93,910.39,63.2,67.1,230,145,Shoulder season with balanced demand patterns. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,22/04/2024,999.68,928.04,66.3,68.6,230,152,Shoulder season with balanced demand patterns. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
